"date","close","volume","open","high","low"
"2018/11/15","4.1100","20912.0000","3.9300","4.2700","3.8600"
"2018/11/14","3.9900","39374.0000","4.1900","4.2600","3.9100"
"2018/11/13","4.4000","44021.0000","4.6800","4.6800","4.3900"
"2018/11/12","4.5700","28094.0000","5.5100","5.5100","4.5600"
"2018/11/09","5.2600","33463.0000","5.8000","5.9400","5.2400"
"2018/11/08","5.7800","69635.0000","4.9000","6.0600","4.9000"
"2018/11/07","4.8700","38460.0000","4.5500","4.9800","4.5100"
"2018/11/06","4.5200","34290.0000","4.5500","4.9900","4.4700"
"2018/11/05","4.4400","46644.0000","4.6000","4.7600","4.2900"
"2018/11/02","4.6500","112766.0000","4.0500","4.8800","4.0500"
"2018/11/01","4.0300","23839.0000","3.9900","4.2500","3.9900"
"2018/10/31","3.9800","29295.0000","3.9400","4.3099","3.9400"
"2018/10/30","3.8800","23101.0000","4.2000","4.2000","3.7600"
"2018/10/29","3.9800","32861.0000","4.0100","4.0500","3.8000"
"2018/10/26","4.0000","133493.0000","4.1000","4.2400","3.7000"
"2018/10/25","4.1600","64698.0000","4.3010","4.4000","4.0000"
"2018/10/24","4.2800","35575.0000","4.3200","4.5000","4.0500"
"2018/10/23","4.2900","14784.0000","4.4200","4.9600","4.1500"
"2018/10/22","4.4700","28150.0000","5.1800","5.1800","4.4400"
"2018/10/19","4.9900","35680.0000","4.7500","4.9900","4.6000"
"2018/10/18","4.8400","12923.0000","4.7200","4.9592","4.5700"
"2018/10/17","4.7600","16218.0000","5.0800","5.1900","4.7300"
"2018/10/16","5.1400","17457.0000","4.7800","5.1400","4.7800"
"2018/10/15","4.8500","20890.0000","4.5700","4.9100","4.5600"
"2018/10/12","4.5400","42241.0000","4.6700","4.7500","4.4600"
"2018/10/11","4.6300","13202.0000","4.7000","4.8500","4.6000"
"2018/10/10","4.7100","46177.0000","4.8500","5.0300","4.6431"
"2018/10/09","4.9600","44940.0000","5.1800","5.3100","4.9200"
"2018/10/08","5.2100","14635.0000","5.2000","5.3200","5.1000"
"2018/10/05","5.1800","33003.0000","5.3700","5.4900","5.1000"
"2018/10/04","5.3900","27535.0000","5.3500","5.5900","5.3300"
"2018/10/03","5.3500","25165.0000","5.5500","5.6800","5.3000"
"2018/10/02","5.6500","69349.0000","5.5800","5.7100","5.0900"
"2018/10/01","5.6100","108843.0000","5.9200","6.0500","5.0100"
"2018/09/28","5.9500","22029.0000","6.0010","6.0300","5.8200"
"2018/09/27","5.9700","41254.0000","6.0000","6.1900","5.7400"
"2018/09/26","6.1900","64999.0000","5.6800","6.3600","5.6800"
"2018/09/25","5.7100","68675.0000","5.9300","6.1390","5.6100"
"2018/09/24","5.8900","43736.0000","6.1600","6.3300","5.8500"
"2018/09/21","6.1400","91000.0000","6.0700","6.3300","5.8800"
"2018/09/20","6.0800","96128.0000","6.3500","6.6000","6.0600"
"2018/09/19","6.3800","42278.0000","6.0900","6.5600","6.0200"
"2018/09/18","6.3600","37429.0000","6.0200","6.4000","5.9300"
"2018/09/17","6.1200","27864.0000","6.2100","6.2100","5.9000"
"2018/09/14","6.0900","27572.0000","6.0900","6.1800","5.9700"
"2018/09/13","6.1300","47128.0000","6.6700","6.6700","6.0700"
"2018/09/12","6.6100","24175.0000","6.5400","6.7650","6.5400"
"2018/09/11","6.6000","25595.0000","6.4100","6.6500","6.4100"
"2018/09/10","6.4600","17601.0000","6.5900","6.5900","6.3000"
"2018/09/07","6.5400","30224.0000","6.3500","6.6200","6.1800"
"2018/09/06","6.3600","31924.0000","6.4600","6.4600","6.0900"
"2018/09/05","6.4400","53132.0000","6.8400","6.8400","6.3200"
"2018/09/04","6.8000","30663.0000","6.9000","7.4344","6.6900"
"2018/08/31","6.9200","40021.0000","7.0100","7.1000","6.8400"
"2018/08/30","7.0100","67702.0000","6.8700","7.3690","6.8700"
"2018/08/29","6.9000","60362.0000","6.7300","7.0700","6.7100"
"2018/08/28","6.7000","55347.0000","6.7900","6.7900","6.6500"
"2018/08/27","6.7400","48612.0000","6.4600","6.9300","6.4207"
"2018/08/24","6.3950","51003.0000","6.5000","6.7000","6.3100"
"2018/08/23","6.4600","105138.0000","6.5500","6.8000","6.2500"
"2018/08/22","6.5200","29791.0000","6.5000","6.6000","6.4300"
"2018/08/21","6.4700","39054.0000","6.3200","6.5000","6.1600"
"2018/08/20","6.2800","44238.0000","6.2100","6.3700","6.0100"
"2018/08/17","6.1800","38703.0000","6.4700","6.5900","6.1600"
"2018/08/16","6.4900","50104.0000","6.2700","6.5600","6.0000"
"2018/08/15","6.2000","40882.0000","5.9800","6.3700","5.9800"
"2018/08/14","5.9900","79177.0000","6.3900","6.4300","5.9100"
"2018/08/13","6.2700","57542.0000","6.4000","6.5100","5.9810"
"2018/08/10","6.4100","44800.0000","6.5400","6.5400","6.1700"
"2018/08/09","6.5600","72211.0000","6.6500","6.6500","6.2710"
"2018/08/08","6.6700","54468.0000","6.4300","6.7500","6.3200"
"2018/08/07","6.4000","67865.0000","6.1900","6.4900","5.8700"
"2018/08/06","6.2700","47401.0000","6.2500","6.4000","6.0501"
"2018/08/03","6.2000","59530.0000","6.6400","6.6400","6.1700"
"2018/08/02","6.6300","72186.0000","6.6100","6.8700","6.4750"
"2018/08/01","6.6200","52618.0000","6.9000","7.0600","6.5000"
"2018/07/31","6.8500","67711.0000","6.4400","6.9700","6.4300"
"2018/07/30","6.3900","70788.0000","6.8000","6.9500","6.3100"
"2018/07/27","6.8600","38270.0000","7.2700","7.3500","6.8500"
"2018/07/26","7.2400","34955.0000","7.3800","7.5100","7.1000"
"2018/07/25","7.3700","48263.0000","7.1200","7.4300","7.1200"
"2018/07/24","7.0800","71174.0000","7.1500","7.3200","6.9200"
"2018/07/23","7.1500","53138.0000","7.3600","7.4600","7.0500"
"2018/07/20","7.4000","36857.0000","7.5000","7.5200","7.3100"
"2018/07/19","7.4700","28666.0000","7.3800","7.5000","7.1750"
"2018/07/18","7.3800","40456.0000","7.2100","7.4200","7.1266"
"2018/07/17","7.2300","57296.0000","7.4200","7.6100","7.1550"
"2018/07/16","7.4500","59338.0000","7.4700","7.5400","7.0601"
"2018/07/13","7.4900","86339.0000","7.6700","7.6700","7.2911"
"2018/07/12","7.4400","47873.0000","7.4700","7.5700","7.1700"
"2018/07/11","7.4200","42389.0000","7.3400","7.6099","7.1950"
"2018/07/10","7.4000","75711.0000","7.6700","7.7000","7.1899"
"2018/07/09","7.5800","69588.0000","7.4000","7.6700","7.1353"
"2018/07/06","7.3400","81512.0000","7.2200","7.6600","7.1700"
"2018/07/05","7.2100","50098.0000","7.2500","7.2500","7.0700"
"2018/07/03","7.1900","61677.0000","6.9800","7.3000","6.9000"
"2018/07/02","6.8700","52559.0000","6.8300","7.1900","6.7900"
"2018/06/29","6.8900","51186.0000","7.0000","7.1000","6.8100"
"2018/06/28","6.9800","55799.0000","6.7600","7.0000","6.6000"
"2018/06/27","6.7800","85455.0000","7.0800","7.2790","6.6700"
"2018/06/26","7.0500","75384.0000","7.0200","7.4290","6.8700"
"2018/06/25","6.9500","148696.0000","6.5900","7.1300","6.2500"
"2018/06/22","7.0400","1830737.0000","6.8400","7.1400","6.5102"
"2018/06/21","6.6800","164824.0000","6.8500","7.0600","6.1700"
"2018/06/20","6.8600","128958.0000","7.1500","7.2100","6.8000"
"2018/06/19","7.1500","67333.0000","7.0700","7.2050","6.8800"
"2018/06/18","7.0900","81382.0000","7.6700","7.6700","7.0100"
"2018/06/15","7.7600","138861.0000","7.8500","7.8500","7.3300"
"2018/06/14","7.8900","59843.0000","7.2800","7.9000","6.9600"
"2018/06/13","7.2000","51928.0000","7.1700","7.4400","7.0000"
"2018/06/12","7.2100","49958.0000","7.0200","7.2100","6.9200"
"2018/06/11","7.0200","62844.0000","7.0600","7.4350","6.7800"
"2018/06/08","7.0700","41132.0000","7.2000","7.2500","6.9500"
"2018/06/07","7.1700","98736.0000","7.4300","7.6900","6.8200"
"2018/06/06","7.3900","75563.0000","7.5500","7.6200","7.2900"
"2018/06/05","7.5200","46269.0000","7.4000","7.7100","7.3000"
"2018/06/04","7.3900","51035.0000","7.6300","7.8800","7.2700"
"2018/06/01","7.6100","72315.0000","7.4400","7.7500","7.3310"
"2018/05/31","7.4200","56573.0000","7.6000","7.9100","7.3100"
"2018/05/30","7.6000","69034.0000","7.5600","7.9900","7.4000"
"2018/05/29","7.5500","90530.0000","7.5500","7.9000","7.2000"
"2018/05/25","7.5700","78917.0000","7.4000","7.7000","7.3100"
"2018/05/24","7.4100","116516.0000","7.5400","7.9300","7.2700"
"2018/05/23","7.5400","142693.0000","7.0500","7.5990","7.0500"
"2018/05/22","7.0100","113557.0000","7.3900","7.6700","6.8100"
"2018/05/21","7.3300","118718.0000","7.6300","7.8000","6.9100"
"2018/05/18","7.6100","139027.0000","7.9400","7.9800","7.5500"
"2018/05/17","7.9900","79933.0000","8.0900","8.3500","7.7700"
"2018/05/16","8.1200","95687.0000","8.4500","8.5100","8.0900"
"2018/05/15","8.3900","78804.0000","8.2800","8.6400","7.7000"
"2018/05/14","8.3900","82404.0000","8.3000","8.7500","8.0800"
"2018/05/11","8.2500","146852.0000","8.1500","8.3700","7.5500"
"2018/05/10","8.1800","78380.0000","8.5900","8.8000","7.8301"
"2018/05/09","8.6000","96703.0000","8.7900","9.0300","8.3100"
"2018/05/08","8.8000","26943.0000","8.8500","8.9900","8.5610"
"2018/05/07","8.8200","90390.0000","8.9400","9.0900","8.7300"
"2018/05/04","8.9100","82053.0000","8.7700","9.2000","8.3800"
"2018/05/03","8.7800","96843.0000","8.9600","9.4000","8.7100"
"2018/05/02","9.0000","75824.0000","9.1600","9.2500","8.7900"
"2018/05/01","9.1500","78211.0000","8.9600","9.4700","8.9000"
"2018/04/30","8.9900","77434.0000","9.3900","9.6500","8.8600"
"2018/04/27","9.3100","73820.0000","9.0500","9.5500","9.0500"
"2018/04/26","8.9800","88190.0000","8.9100","9.3699","8.8400"
"2018/04/25","8.8600","66527.0000","9.3300","9.3800","8.7800"
"2018/04/24","9.2600","75783.0000","9.7100","9.7100","9.0500"
"2018/04/23","9.6600","79119.0000","9.7800","9.9300","9.3600"
"2018/04/20","9.8400","201611.0000","9.8000","10.0000","9.7000"
"2018/04/19","9.8600","70493.0000","10.0000","10.1000","9.7500"
"2018/04/18","9.9600","110962.0000","10.0100","10.2400","9.9000"
"2018/04/17","10.0000","94068.0000","10.2600","10.3200","9.8500"
"2018/04/16","10.1900","82871.0000","10.6600","10.7700","10.0600"
"2018/04/13","10.7000","93174.0000","10.3300","11.0800","10.0200"
"2018/04/12","10.2700","58127.0000","10.2500","10.5900","10.0700"
"2018/04/11","10.2000","78703.0000","9.8300","10.5000","9.8300"
"2018/04/10","9.9000","46731.0000","10.0300","10.2600","9.7500"
"2018/04/09","9.9100","131694.0000","10.3800","10.7100","9.3000"
"2018/04/06","10.3700","113346.0000","10.7700","10.7700","10.0950"
"2018/04/05","10.8600","260394.0000","10.8300","10.8700","10.3000"
"2018/04/04","10.7400","44041.0000","10.8900","10.8900","10.6300"
"2018/04/03","11.0000","75471.0000","11.0600","11.1300","10.7850"
"2018/04/02","10.9900","57676.0000","11.1300","11.1800","10.6000"
"2018/03/29","10.9400","48703.0000","10.6800","11.0400","10.4710"
"2018/03/28","10.6300","43613.0000","10.9400","10.9400","10.5000"
"2018/03/27","11.0000","66782.0000","11.0750","11.1800","10.8200"
"2018/03/26","11.0700","84987.0000","11.2900","11.5000","10.9000"
"2018/03/23","11.2000","43423.0000","11.2700","11.6500","11.1200"
"2018/03/22","11.2100","32676.0000","11.3200","11.6600","11.1200"
"2018/03/21","11.4500","51258.0000","11.2900","11.8700","11.1600"
"2018/03/20","11.3400","81371.0000","11.3500","11.8700","11.0600"
"2018/03/19","11.2600","98197.0000","11.9600","11.9899","11.0500"
"2018/03/16","11.9800","145334.0000","11.0000","11.9900","10.9500"
"2018/03/15","10.9700","117851.0000","11.3000","11.3000","10.8700"
"2018/03/14","11.2000","132809.0000","11.3600","11.5800","11.0525"
"2018/03/13","11.3000","54107.0000","11.3500","11.5350","11.2200"
"2018/03/12","11.4500","111589.0000","11.4300","11.5800","11.1200"
"2018/03/09","11.4500","114180.0000","11.4300","11.4700","10.8500"
"2018/03/08","11.4800","165832.0000","10.9500","11.5000","10.6300"
"2018/03/07","10.9700","103837.0000","11.0300","11.0300","10.5600"
"2018/03/06","10.9600","150138.0000","10.5200","11.0600","10.5000"
"2018/03/05","11.0000","100628.0000","10.9600","11.1600","10.6200"
"2018/03/02","10.8900","79737.0000","10.7000","10.9300","10.5010"
"2018/03/01","10.6600","54926.0000","11.0700","11.2890","10.4400"
"2018/02/28","11.1600","6256.0000","10.9710","11.1700","10.7800"
"2018/02/27","11.1900","15821.0000","10.8600","11.3000","10.8400"
"2018/02/26","10.7500","65946.0000","11.2000","11.2750","10.5600"
"2018/02/23","11.2100","32124.0000","11.1100","11.5000","10.9100"
"2018/02/22","11.0100","113405.0000","11.0900","11.4900","10.7000"
"2018/02/21","11.0500","61826.0000","10.9500","11.3100","10.5900"
"2018/02/20","10.8600","64817.0000","11.1100","11.4990","10.7500"
"2018/02/16","11.1900","52076.0000","10.6600","11.6900","10.4820"
"2018/02/15","10.6600","50908.0000","10.9500","11.0000","10.5000"
"2018/02/14","10.8200","123571.0000","10.9100","11.3900","10.4000"
"2018/02/13","10.9400","146829.0000","10.4900","11.3000","10.2000"
"2018/02/12","10.4200","37912.0000","10.2700","10.5400","10.0000"
"2018/02/09","10.1400","31262.0000","10.7600","11.7900","10.0300"
"2018/02/08","10.6900","47443.0000","11.0000","11.0000","10.5200"
"2018/02/07","10.9400","94010.0000","10.3500","11.3069","10.3500"
"2018/02/06","10.2900","89496.0000","10.6300","11.1800","10.0400"
"2018/02/05","10.6400","61298.0000","11.2600","11.6700","10.4100"
"2018/02/02","11.2500","221681.0000","11.8200","12.1351","10.8800"
"2018/02/01","11.8300","58491.0000","12.2000","12.3800","11.7600"
"2018/01/31","11.9400","91375.0000","12.0250","12.2600","11.7400"
"2018/01/30","12.1600","62486.0000","11.9200","12.2833","11.6500"
"2018/01/29","12.0400","131892.0000","12.1300","12.6943","11.8200"
"2018/01/26","12.0800","98140.0000","12.0300","12.2400","11.7595"
"2018/01/25","12.0300","75208.0000","12.2950","12.4499","12.0000"
